pool_id,symbol,amount,value
1,ATOM,5133.518839,48357.03843487003
1,OSMO,40313.040882,45074.33875518657
678,axlUSDC,17860.767858,17860.768019103154
678,OSMO,15750.538618,17610.805280664765
497,JUNO,2471.950023,9231.257439693889
497,OSMO,7872.856701000001,8802.70508371308
704,axlWETH,4.814596678419504,8774.549613041307
704,OSMO,7535.555045000001,8425.565359877015
674,axlDAI,4280.088005728653,4258.775422595442
674,OSMO,3793.347683,4241.372884278963
629,ROWAN,341611.34916098596,3872.669501283972
629,OSMO,2670.353478,2985.743933725576
498,ATOM,281.083885,2647.771374111751
498,JUNO,693.614813,2590.23719865397
587,ATOM,240.818346,2268.475558105151
587,MED,77848.893676,2204.72519892702
9,CRO,8490.81240683,1510.5815441326308
9,OSMO,1319.420012,1475.2542423018974
560,OSMO,1011.9133039999999,1131.4284920575615
560,UST,128228.08015899999,1110.9690429284244
482,ATOM,99.86571799999999,940.7212703621077
482,EEUR,916.828112,929.3499981610282
712,axlWBTC,0.02809063,871.2798737693619
712,OSMO,750.830964,839.5102051041373
13,ATOM,70.781781,666.7546008211997
13,XPRT,461.581273,637.7299787670867
611,ATOM,66.662962,627.9558947219597
611,STARS,18593.34934,596.8138950757105
604,STARS,17503.291332999997,561.8249453647201
604,OSMO,492.958912,551.1813672631546
10,ATOM,54.999159,518.0844814366383
600,ATOM,53.206863,501.2013006639839
10,CRO,2773.50576029,493.4282390539567
600,CMDX,1426.75346,491.3364371429768
585,ATOM,32.642922999999996,307.4918261028521
641,UMEE,10067.446759,306.04358693267494
585,SCRT,230.40168,300.3883733029436
641,OSMO,267.768527,299.3941669968245
601,CMDX,825.8302199999999,284.39424844976423
601,OSMO,242.422594,271.0546732470892
627,OSMO,197.26114700000002,220.55929219382512
627,SOMM,457.539302,220.21184402808035
584,SCRT,142.263975,185.4780053247035
2,ION,0.200108,180.34565223757892
584,OSMO,159.574493,178.42153796392807
679,axlUSDT,164.226323,155.07311633517165
679,axlFRAX,187.39316907359307,153.6534352842059
631,NETA,2.468141,153.62031444152203
481,EEUR,147.9804,150.00149173858253
574,ATOM,15.505411,146.05883005223674
481,OSMO,128.626995,143.81888884696934
574,BTSG,8455.542544,141.0434010817246
690,MNTL,1097.281598,103.17570545718695
690,OSMO,88.43691,98.8820280630783
561,OSMO,74.324935,83.10331408522156
561,LUNA,1510264.398448,73.40513308534004
15,XPRT,51.513,71.17139779678395
719,XPRT,49.544523,68.45171034660983
15,OSMO,61.079115,68.29305505470495
619,DSM,3044.985735,63.65321183824123
619,OSMO,56.073342,62.69605956647045
722,OSMO,52.546325,58.75247318412225
722,EVMOS,27.335252212522605,49.7241708939111
2,OSMO,39.971516,44.69247700802508
6,DVPN,27254.064383,38.99049666601347
625,GRAV,3152.998994,38.38388847624169
625,OSMO,34.180448,38.21743679584224
631,OSMO,33.326066,37.26214533551658
719,axlUSDC,28.522308000000002,28.52230825726967
648,OSMO,22.546252,25.20914766222876
648,PSTAKE,121.30410741935788,25.140704071226317
573,BTSG,1419.668063,23.68089462866099
651,OSMO,20.600016,23.03304536773008
573,OSMO,20.546447999999998,22.97315055142224
651,SWTH,4440.05469981,22.816663939480435
3,AKT,61.912653999999996,21.621622177761214
3,OSMO,18.955990999999997,21.19484764930683
571,BCNA,1440.0967,20.576426428417633
571,OSMO,17.947745,20.067519599666852
6,ATOM,1.888618,17.790520708905763
606,ATOM,1.809983,17.049789869771114
606,HUAHUA,348386.399745,16.344832622687754
577,OSMO,13.36394,14.942329962832199
577,XKI,178.963711,14.076543615040288
5,DVPN,7709.840355,11.029933019628166
5,OSMO,9.807089,10.965385942533569
22,ATOM,1.144704,10.782953576407333
669,RAC,143.746001,10.740831680077285
669,OSMO,9.526676,10.65185388747588
22,REGEN,31.671046999999998,10.153964906644037
553,LIKE,3859.178553331,9.492953614322266
553,OSMO,8.421882,9.41657473410066
605,HUAHUA,186344.922568,8.742524311198753
605,OSMO,7.6015809999999995,8.49938951695353
730,OSMO,4.586783,5.12851936284579
658,HUAHUA,78075.709808,3.6629857240218384
658,CRBRUS,373824.68012900004,3.473384000729609
562,UST,335.138162,2.9036395353050017
602,CHEQ,72.235854899,2.8543233312601526
567,EEUR,2.801904,2.840171939718377
602,OSMO,2.498426,2.79351042280338
565,ATOM,0.286554,2.6992991018934385
567,UST,309.728724,2.683491974948443
562,LUNA,52754.519309,2.5640891189051085
555,ATOM,0.249999,2.3549560507766696
643,ATOM,0.24990800000000002,2.3540988433453576
643,UMEE,75.155426,2.2846742278454215
649,OSMO,2.039494,2.2803748224862197
555,LIKE,899.3264718629999,2.2121973273713205
649,MARBLE,0.371,2.1874168893841097
565,LUNA,44377.840909,2.156947698239312
592,BTSG,128.404383,2.141860300256137
592,UST,234.925178,2.0353934944578613
547,ATOM,0.201162,1.8949182560183697
547,TICK,4.653663,1.8742015072807836
608,LUM,1141.378447,1.555260552049202
608,OSMO,1.380728,1.5438032021186399
578,UST,173.736993,1.505258603225879
578,XKI,18.476107,1.4532539841088297
637,DARC,391.304013,1.0941855133667626
637,OSMO,0.952199,1.06466144327787
596,ATOM,0.108103,1.0183153290897575
644,OSMO,0.218339,0.24412661099607
644,DEC,15.910931,0.23643062216679225
616,ATOM,0.006312,0.05945816820268216
616,LUM,40.818371,0.055619766066258236
597,OSMO,0.011048,0.01235285862024
662,OSMO,0.005023,0.00561625713699
662,CRBRUS,601.784783,0.0055914704091592875
