sender,value
osmo1hrlrcz4etjdftqrx2ramrxldrf5gpg9nqjd0ur,22.611926295701014
osmo132c0nklmwcu85f07er56ftjtq2hr6l49znytst,22.172875953217044
osmo15xd8465ylem38zkerjc8vn04h00n9zwurukg99,20.38435796272859
osmo178s275svy3n97c82vdglhv6m8j56yc30msgxmr,19.06327592730519
osmo1c7c8un9v8th406gv6x40nna45pc3gn40gr0dre,9.000191620732597
osmo1ywgp5ar9w6gfny8vzx8gxsgtuc3zu0kq5yacxe,7.66771885780681
osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,7.1309634254317755
osmo1a944h7gug7r2ad9l2usdm8zmm0mmxak9r0ltvj,5.73644705231622
osmo16lln26dtpdd0dyp4g76jaqgde5wc5mc8e2cvy3,5.60583516520307
osmo1r943fkjkccw85rsnvvvm3q3f2svauvlzczc755,4.435373301444823
osmo175fm40ejc9svlampmjee3ee3wzn6qj55nvl7rv,3.091484158561289
osmo1pm20hdsf455uuxkqsyml8x630lte7jhew4uvct,3.010474794240691
osmo1ghswzufx33u93c0mx9pzey5q22fz9x783wp5dp,2.323695848891224
osmo149knvmjayx979n9ugg8uugpnnw34p2hxkrg06x,2.2463769133567273
osmo1x6tw4glku3akevllsayxu4r4qeu9utcpun8xuc,1.9596583095554303
osmo1lsjl0d36musly00s4d68yqe0ndszx5x9ldd4l6,1.9389589134349088
osmo1y6jv9m9937ftxzmg4q5zgywngxf70p7agvav5q,1.87673792258504
osmo1wu2rp75wqnh82wu3peh9ftqv36e030vj8lfq9d,1.615402597952946
osmo1dxh7d7fuvjy43e0557mx6wwe4luyc0s2z0jfec,1.3286720415001438
osmo19lexqfkg95hn8ffe2qyxl3404vr2t6uvj6xp8q,1.1972644452726398
osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,0.4177783780076382
osmo1crykcdaxm3u4flnjxq0kmyye7uqy9tcesac6u2,0.04427335084800478
