pool_id,symbol,amount,value
1,ATOM,136660.56038799998,1287323.6036474188
1,OSMO,1112731.353394,1244153.9727357344
678,axlUSDC,898348.511917,898348.5200200548
678,OSMO,789452.504802,882693.2638679802
712,axlWBTC,7.86730779,244018.2700842209
712,OSMO,210648.077195,235527.32768059708
704,axlWETH,69.41911464752194,126515.57466866387
704,OSMO,108494.537947,121308.62493913421
722,EVMOS,215.88850249182056,392.71182531895806
722,OSMO,350.41778999999997,391.80497989563264
2,ION,0.028835999999999973,25.98820251025856
2,OSMO,5.809201999999999,6.495315985012262
597,OSMO,4.369219000000001,4.885259285650472
573,OSMO,2.373987000000001,2.654374165214312
573,BTSG,157.79975600000003,2.6321923354166605
497,JUNO,0.6309850000000001,2.356352240696272
497,OSMO,2.000483,2.2367563062267894
584,SCRT,0.20369000000000004,0.2655627674159172
584,OSMO,0.22787900000000005,0.25479336255627005
641,UMEE,3.874262999999999,0.11777498045177848
641,OSMO,0.10355500000000001,0.11578568740215
637,DARC,29.664498999999992,0.08294948170409591
637,OSMO,0.073435,0.08210827052654998
610,UST,-0.00143,-1.238953066612018e-05
610,CMDX,-3.9e-05,-1.3430576189789716e-05
574,BTSG,-0.63211,-0.010543964954801479
574,ATOM,-0.001169,-0.011011818540705869
572,BCNA,-1.021401,-0.014594007840176426
572,ATOM,-0.001617,-0.015231916664090154
600,CMDX,-0.09462,-0.03258464407892059
600,ATOM,-0.003498,-0.03295067686517462
681,OSMO,-0.089483,-0.10005166979678999
681,FET,-0.65333,-0.10080311413290466
498,JUNO,-0.082638,-0.3086035903653153
498,ATOM,-0.033644,-0.3169218331766538
690,MNTL,-4.250068000000001,-0.39962737454111164
690,OSMO,-0.361259,-0.4039266249356699
638,DARC,-151.230583,-0.4228791619793836
638,ATOM,-0.046922,-0.44199875925320853
561,LUNA,-26883604.933268994,-1306.655046605245
561,OSMO,-1188.167223999999,-1328.4994329539304
