pool_id,symbol,amount,value
690,OSMO,14227.435914,15907.81176449738
690,MNTL,166224.894603,15629.87185465501
712,axlWBTC,0.5038524799999999,15627.863282980126
704,axlWETH,8.33170440866096,15184.439856131317
712,OSMO,13520.254377,15117.106338591786
704,OSMO,13174.734025,14730.777223940124
2,ION,10.345215,9323.538023032488
1,ATOM,850.1786840000001,8008.5657787717
678,axlUSDC,7798.249213,7798.249283339785
678,OSMO,6781.872092,7582.866322685308
1,OSMO,6702.981935,7494.6585967666315
719,XPRT,4702.285716,6496.772605896979
722,OSMO,3439.540307,3845.777980719396
722,EVMOS,1977.3563732987673,3596.908689908832
9,CRO,19464.97019203,3462.969539348229
9,OSMO,3034.799816,3393.234347192104
674,axlDAI,2765.913189094753,2752.1403987448994
719,axlUSDC,2703.965718,2703.9657423896238
674,OSMO,2381.515829,2662.79221012859
2,OSMO,2090.455605,2337.355407354569
497,JUNO,401.880132,1500.7823474876793
653,HOPE,211.644112,1464.7875524618348
653,OSMO,1296.486016,1449.6115549209103
497,OSMO,1280.301577,1431.515602095521
734,axlDAI,1271.7667985581988,1265.4340699825132
3,AKT,2253.1454999999996,786.8611271699463
3,OSMO,691.8519210000001,773.5652576262177
641,UMEE,17115.070078,520.2865793745209
601,CMDX,1483.294283,510.8076123002823
641,OSMO,447.569364,500.43094462732927
601,OSMO,428.96191699999997,479.6258068580852
648,OSMO,428.570499,479.1881592100569
648,PSTAKE,2307.135058942507,478.1618776411577
482,ATOM,44.525599,419.42499281799377
482,EEUR,397.974525,403.4099949990256
631,NETA,6.294706000000001,391.79071010810776
604,STARS,11806.343431,378.96291199660953
604,OSMO,332.352558,371.60609712609653
629,ROWAN,29224.020471070322,331.297461460738
578,UST,35547.242549,307.9815745852081
578,XKI,3814.512905,300.03377208336127
629,OSMO,234.822438,262.5568770342209
611,ATOM,26.687773,251.3951356129594
611,STARS,7483.717745,240.21421075718158
42,REGEN,606.305836,194.3860012407381
42,OSMO,171.62519500000002,191.89552584233533
584,SCRT,111.00984,144.7301306927104
584,OSMO,124.796718,139.53622499311734
600,ATOM,10.177254,95.86832702367235
600,CMDX,274.90790300000003,94.67106503632876
631,OSMO,84.362422,94.32630990469086
577,OSMO,55.46392,62.0146598736696
577,XKI,746.879697,58.74646078393276
585,ATOM,5.667077,53.38308261779965
585,SCRT,39.747479,51.821152344474704
625,GRAV,4060.8984140000002,49.43644832521084
625,OSMO,43.968593,49.16164129796109
605,HUAHUA,768507.243146,36.055145286207015
605,OSMO,31.395351,35.10339719730363
15,XPRT,23.964360999999997,33.109643578839034
15,OSMO,28.544126000000002,31.91541934434438
681,FET,151.04812404833243,23.305406590857906
681,OSMO,19.682164,22.00678758439332
651,SWTH,4267.92939268,21.932142114009878
651,OSMO,19.419951,21.71360509730163
721,axlWBTC,0.000697,21.618670425591926
643,ATOM,2.2920599999999998,21.5908886265272
721,axlWETH,0.011839313453053404,21.577018848496127
643,UMEE,685.436139,20.836796023312704
606,ATOM,1.665244,15.686368480752101
606,HUAHUA,321410.754074,15.079248163293958
498,ATOM,1.382991,13.027584204815527
4,AKT,36.843522,12.866783458871481
498,JUNO,3.399717,12.695913168590705
662,OSMO,11.273031,12.604467610842029
662,CRBRUS,1341056.281524,12.460395687935886
5,DVPN,7761.680490000001,11.104097099615586
5,OSMO,9.633688,10.77150487468344
730,OSMO,8.958354,10.01640843881802
4,ATOM,0.748468,7.050465183511584
619,DSM,329.857672,6.895434691514275
619,OSMO,6.049176,6.76363286540088
726,OSMO,5.352635,5.98482471042255
669,RAC,76.160521,5.6907832637931355
669,OSMO,5.032962,5.62739573018106
716,ROWAN,441.6355815500002,5.0065919986297205
720,axlUSDC,4.759143,4.759143042927211
720,axlDAI,4.73874105,4.715144616365994
573,BTSG,229.289233,3.8246786750174984
573,OSMO,3.3124599999999997,3.7036884562998
618,ATOM,0.34863900000000003,3.284131226871817
618,DSM,148.868287,3.1119832515100745
481,EEUR,2.799503,2.8377381472589414
481,OSMO,2.448028,2.73716000926764
649,OSMO,1.883136,2.10554967149568
649,MARBLE,0.347,2.0459128318498276
617,ATOM,0.206054,1.9410002203478247
617,CHEQ,46.85873518,1.8515733119601587
463,NGM,2.4315,1.6825803712705159
463,OSMO,1.482204,1.65726434271852
557,IXO,11.274992,1.212007969567344
557,OSMO,1.019001,1.13935330257813
621,DIG,1886.547386,0.734037567891364
621,OSMO,0.655231,0.73261910812803
732,OSMO,0.542887,0.60700636837131
560,OSMO,0.536898,0.60031001878074
560,UST,67.533238,0.5851084777506241
633,gUSDC,0.236082,0.23793889175031613
633,OSMO,0.204998,0.22920993043374002
602,CHEQ,5.219021463,0.2062241078065322
597,OSMO,0.181771,0.20323963289823
602,OSMO,0.180947,0.20231831179911
10,ATOM,0.016075,0.1514242797620589
10,CRO,0.81545752,0.14507623307580025
608,LUM,96.349594,0.1312874999068179
608,OSMO,0.117342,0.13120104419046
701,OSMO,0.0597,0.066751055361
613,OSMO,0.051893999999999996,0.05802310329822
613,VDL,1.491295,0.05798793043492127
7,IRIS,1.742513,0.042598744578654826
7,OSMO,0.037422,0.04184184244086
729,OSMO,0.02572,0.0287577411036
553,LIKE,6.865940312999999,0.016889100104932102
553,OSMO,0.014974999999999999,0.016743669246749998
637,DARC,4.920165,0.013758032341912573
637,OSMO,0.012185,0.013624147564049999
627,OSMO,0.004885,0.00546195821505
627,SOMM,0.011336,0.0054559716574955975
580,JUNO,1e-06,3.7344029425363066e-06
580,UST,0.000411,3.5609070655771985e-06
