symbol,amount,value
OSMO,2220503.230922,2482762.7151851556
ATOM,136660.473538,1287322.7855324142
axlUSDC,898348.511917,898348.5200200548
axlWBTC,7.86730779,244018.2700842209
axlWETH,69.41911464752194,126515.57466866387
EVMOS,215.88850249182056,392.71182531895806
ION,0.028835999999999973,25.98820251025856
BTSG,157.16764600000002,2.621648370461859
JUNO,0.5483470000000001,2.0477486503309565
SCRT,0.20369000000000004,0.2655627674159172
UMEE,3.874262999999999,0.11777498045177848
UST,-0.00143,-1.238953066612018e-05
BCNA,-1.021401,-0.014594007840176426
CMDX,-0.094659,-0.03259807465511038
FET,-0.65333,-0.10080311413290466
DARC,-121.566084,-0.3399296802752877
MNTL,-4.250068000000001,-0.39962737454111164
LUNA,-26883604.933268994,-1306.655046605245
