sender,symbol,amount,value
osmo1w83rmdhrqudkj5qgs0c8lea6ypacp55360j77e,JUNO,24.822602,92.69759795020761
osmo1x6gvw82e27x6jkxmh8jlelmj4gn6mwlpsxmfha,STARS,2731.132628,87.6645660703238
osmo1ew4ezkyx96zwey29s37qpzsv9pg3fjnmr82xd6,ATOM,8.79041,82.80444809102333
osmo1dw6m6txg97twtcyw45x2nutczdtpaqg3ge334z,ATOM,7.92765,74.67736805323086
osmo1cc56ryg7v58hvw0etrhhl9ufmksg5jl9t60mjc,ATOM,7.719941,72.72077796146742
osmo1npquw5czg704mu9d7sgdv07rrmsmgzns8rrrlg,NETA,1.113124,69.28228933938732
osmo1dqgam0gwfegzlz37cpdd6plr49dtkus9s5ak9u,ATOM,7.150196,67.35385875319157
osmo103cdawt7rpnl8ppn7qnc8y4aj4e9hhlvx3w70r,ATOM,7.079987,66.69249967027932
osmo1sm8peyeg0cj6wr8w0wl305k6w5yz2mj3p3zppt,ATOM,6.919267,65.17853946851521
osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,SOMM,125.0,60.162002221855126
osmo10hfp70p9nucq7grtmasskyut7qt9ezp0645h02,ATOM,6.114018,57.593205107450316
osmo1w83rmdhrqudkj5qgs0c8lea6ypacp55360j77e,ATOM,6.08309,57.301867619146684
osmo1dfwm8kvaq330nzpml86hex6wy8qjm9cc9vfznw,ATOM,5.817477,54.79982984493581
osmo1dnnl0pj4pruwlkkp6gsguhfh88e492jgfxj4mq,OSMO,49.0,54.78729837
osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,SCRT,41.791977,54.48668598312319
osmo1ppetwac9lsc20wjn94fvr36kdcuxqkp07nm5x0,JUNO,14.523029,54.23484223214011
osmo1dfwm8kvaq330nzpml86hex6wy8qjm9cc9vfznw,JUNO,14.321234,53.481258390351
osmo1fwtlm9spclvzle8rw0gezkphg7uh8v6gax9m4d,JUNO,14.243433,53.19071810701873
osmo1ssxqvhz3datp0apqkf4tkyjm95qesd4dx6w7mp,ATOM,5.345166,50.35072545932475
osmo1dqgam0gwfegzlz37cpdd6plr49dtkus9s5ak9u,CMDX,144.698721,49.830440947580136
osmo1ssxqvhz3datp0apqkf4tkyjm95qesd4dx6w7mp,JUNO,13.254051,49.495967054926275
osmo174wunrwwq7rfxq363lg62vxnv0h5lzaqg7q00g,JUNO,13.241696,49.44982850657124
osmo1wfyaqhxsczc4mlgk54trxznmqkld09p79phzqn,BTSG,2930.186516,48.877226963243494
osmo1jl73mvf0zjv7rwg79s8ng9xdlql8c06mk8z4pd,JUNO,13.0,48.54723825297199
osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,ATOM,5.105388,48.09204981684966
osmo1ygt5q28smu68ltywdkamwa57ps7w8vvxjxc93t,JUNO,12.511489,46.722941337110626
osmo1vaysxz87gfl0wm6n5rvy7ec6qm73rep79cn8g6,ATOM,4.699486,44.26850903899715
osmo1vaysxz87gfl0wm6n5rvy7ec6qm73rep79cn8g6,JUNO,11.582579,43.25401709975923
osmo1geth7fyn2qchnr5vfsk4s88a2qhw7yvdzjdand,ATOM,4.34235,40.90433724570927
osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,CMDX,107.474316,37.01133306368041
osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,NGM,47.914852,33.15673019433758
osmo1ugg4nh0vgmqwvkvkjaw745hh70j5aae6y7m6ux,ATOM,3.445542,32.456529750539595
osmo1sqm0rm2w52lg07g0v9kynt6zqqghlfvuddene9,STARS,999.0,32.066147431436086
osmo10szx4rjj949na2ajsyfclzmje44pwqd3v7k0c0,ATOM,3.354263,31.596694177761925
osmo1rejv949h6k78u7fyeudv3lqgveqpfr0du2nwlq,SCRT,23.281644,30.35366395322394
osmo174wunrwwq7rfxq363lg62vxnv0h5lzaqg7q00g,ATOM,3.077206,28.986855504167103
osmo1q8v5vutp5x6jej33qfdjqd5xjmls65r93yzxw9,RAC,360.693618,26.951354556403242
osmo1hrlrcz4etjdftqrx2ramrxldrf5gpg9nqjd0ur,ATOM,2.400452,22.611926295701014
osmo132c0nklmwcu85f07er56ftjtq2hr6l49znytst,ATOM,2.353843,22.172875953217044
osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,XPRT,15.237735,21.05276142346549
osmo15gc74yxgklqx5vr0qe9r9tr2npg7dp62tg8jc7,ATOM,2.191937,20.647743795260222
osmo15xd8465ylem38zkerjc8vn04h00n9zwurukg99,JUNO,5.458532,20.38435796272859
osmo15gc74yxgklqx5vr0qe9r9tr2npg7dp62tg8jc7,JUNO,5.374252,20.06962248273163
osmo178s275svy3n97c82vdglhv6m8j56yc30msgxmr,ATOM,2.023732,19.06327592730519
osmo1uryp8xxqhfhf2sd40usud4kz4gx9jn4ftnsvg5,GRAV,1300.0,15.82590261337527
osmo1wfyaqhxsczc4mlgk54trxznmqkld09p79phzqn,HUAHUA,272075.822204,12.764659521323221
osmo1qp749jf5nf8cgs374prymzsm8pl8xjgafjkpqd,MNTL,120.951147,11.372850816350718
osmo1uryp8xxqhfhf2sd40usud4kz4gx9jn4ftnsvg5,AKT,28.027545,9.787998888889506
osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,STARS,298.338707,9.57614911227829
osmo17c639ncyzt966szuc5y5k06ud9vfnkxm2kvg62,DARC,3349.434187,9.365869614505538
osmo1c7c8un9v8th406gv6x40nna45pc3gn40gr0dre,RAC,120.45078,9.000191620732597
osmo1ywgp5ar9w6gfny8vzx8gxsgtuc3zu0kq5yacxe,JUNO,2.053265,7.66771885780681
osmo1usckzz6h4fkcknv4nkr2apqs4c4fwzc58gjek8,HUAHUA,151994.867849,7.1309634254317755
